name,category,address,city,state,zip,phone,website,short_description,source_url
Lewisburg Nail Spa,Beauty & Personal Care,642 W Commerce St,Lewisburg,TN,37091,,https://www.fresha.com/lvp/lewisburg-nail-spa-west-commerce-street-lewisburg-gWEVEM,Nail salon (manicure/pedicure),https://www.fresha.com/lvp/lewisburg-nail-spa-west-commerce-street-lewisburg-gWEVEM
Nails & Tan,Beauty & Personal Care,1368 N Ellington Pkwy,Lewisburg,TN,37091,(931) 359-0017,https://www.fresha.com/lvp/nails-tan-north-ellington-parkway-lewisburg-EkXo3b,Nail salon and tanning,https://www.yelp.com/biz/nails-and-tan-lewisburg
Salon CW Cuts,Beauty & Personal Care,1300 S Ellington Pkwy,Lewisburg,TN,37091,,https://www.vagaro.com/saloncwcuts1,Hair salon,https://www.vagaro.com/saloncwcuts1
SmartStyle,Beauty & Personal Care,1334 N Ellington Pkwy,Lewisburg,TN,37091,(931) 359-8500,https://www.smartstyle.com/,Hair salon (in Walmart),https://www.smartstyle.com/
Studio 7,Beauty & Personal Care,712 N Ellington Pkwy,Lewisburg,TN,37091,,https://www.studio7lewisburg.com/,Full-service hair salon,https://www.studio7lewisburg.com/
Barnyard Academy - Lewisburg,Childcare & Education,599 Fox Ln,Lewisburg,TN,37091,(931) 345-3500,https://www.barnyardacademy.us/lewisburg,Childcare and preschool (infant through pre-K),https://www.barnyardacademy.us/lewisburg
Child Development Center of Marshall County,Childcare & Education,1600 Jason Maxwell Blvd,Lewisburg,TN,37091,(931) 359-1197,https://cdctn.org/child-development-center-of-marshall-county,Early childhood education and child development center,https://cdctn.org/child-development-center-of-marshall-county
First United Methodist Day Care Center,Childcare & Education,214 4th Ave N,Lewisburg,TN,37091,(931) 359-6535,https://www.facebook.com/fumdaycare/,Preschool and daycare serving Marshall County since 1976,https://www.yelp.com/biz/first-united-methodist-day-care-center-lewisburg
Apex Bank,Financial,,Chapel Hill,TN,37034,,https://apexbank.com/locations-hours/,Personal and business banking,https://www.chapelhilltn.com/local-businesses
Ascend Federal Credit Union,Financial,1372 Rock Crusher Rd,Lewisburg,TN,37091,,https://ascend.org/locations/lewisburg,Credit union (near Walmart),https://ascend.org/locations/lewisburg
CB&S Bank,Financial,771 N Ellington Pkwy,Lewisburg,TN,37091,,https://locations.cbsbank.com/tn/lewisburg/,Bank financial center,https://locations.cbsbank.com/tn/lewisburg/
Edward Jones - Steve R Lewis,Financial,106 2nd Ave N,Lewisburg,TN,37091,(931) 270-9550,https://www.edwardjones.com/us-en/financial-advisor/steve-lewis,Financial advisor: retirement and investment planning,https://www.edwardjones.com/us-en/financial-advisor/steve-lewis
First Commerce Bank,Financial,,Chapel Hill,TN,37034,,https://www.firstcommercebank.net/locations,Community bank,https://www.chapelhilltn.com/local-businesses
First Horizon Bank,Financial,125 N First Ave,Lewisburg,TN,37091,,https://www.firsthorizon.com/location/TN/Lewisburg/,Bank branch,https://www.firsthorizon.com/location/TN/Lewisburg/
H&R Block,Financial,716 S Ellington Pkwy,Lewisburg,TN,37091,(931) 359-1249,https://www.hrblock.com/tax-office-near-me/tennessee/lewisburg/40015/,Tax preparation service,https://www.hrblock.com/tax-office-near-me/tennessee/lewisburg/40015/
Heritage South Community Credit Union,Financial,,Lewisburg,TN,37091,,https://www.heritagesouth.org/,Community credit union,https://www.heritagesouth.org/
Lisa E. Clark CPA,Financial,1933 Nashville Hwy,Lewisburg,TN,37091,,,Accounting and tax preparation for individuals and small businesses,https://cpadirectory.com/accounting-firms/tennessee/lewisburg-tn/lisa-e-clark-cpa/130429
Michael D. Sullivan CPA,Financial,655 N Ellington Pkwy,Lewisburg,TN,37091,(931) 270-6715,https://michaeldsullivancpa.com,"CPA: tax preparation, bookkeeping and payroll",https://www.yelp.com/biz/michael-d-sullivan-cpa-lewisburg-2
Modern Woodmen of America,Financial,3737 Verona Caney Rd,Lewisburg,TN,37091,,https://www.modernwoodmen.org,"Fraternal financial: life insurance, annuities and planning",https://www.modernwoodmen.org/
Wickberg Accounting PLLC,Financial,111 E Commerce St,Lewisburg,TN,37091,(931) 422-7122,https://www.wickbergaccounting.com,"Full-service tax, accounting and business consulting",https://www.wickbergaccounting.com
Functional Fitness,Fitness & Recreation,880 Springplace Rd,Lewisburg,TN,37091,(931) 422-7117,https://www.functionalfitnesstn.com/,Gym with cardio and strength equipment,https://www.functionalfitnesstn.com/
Lewisburg Parks Rec and Fitness,Fitness & Recreation,1551 Mooresville Hwy,Lewisburg,TN,37091,(931) 359-2482,https://lewisburgparksrecandfitness.com/,70000 sq ft recreation/fitness center with pools,https://lewisburgparksrecandfitness.com/
Companion Animal Hospital of Lewisburg,Pets & Animals,1340 S Ellington Pkwy,Lewisburg,TN,37091,(931) 359-6376,https://companionpetstn.com/,Veterinary hospital,https://companionpetstn.com/
Dentistry of Lewisburg,Health & Medical,1360 S Ellington Pkwy,Lewisburg,TN,37091,(931) 359-1993,https://dentistryoflewisburg.com/,Dental practice (cosmetic/implant),https://dentistryoflewisburg.com/
H & S Pharmacy of Chapel Hill,Health & Medical,,Chapel Hill,TN,37034,,https://www.middletnpharmacy.com/h-s-pharmacy-of-chapel-hill,Independent pharmacy,https://www.chapelhilltn.com/local-businesses
Kroger Pharmacy,Health & Medical,301 S Ellington Pkwy,Lewisburg,TN,37091,(931) 359-2980,https://www.kroger.com/stores/pharmacy/tn/lewisburg/026/00534,In-store pharmacy,https://www.kroger.com/stores/pharmacy/tn/lewisburg/026/00534
Lewisburg Animal Hospital,Pets & Animals,1113 B East Commerce St,Lewisburg,TN,37091,(931) 359-5945,https://lewisburganimalhospital.com/,Veterinary hospital,https://lewisburganimalhospital.com/
Lewisburg Family Dentistry,Health & Medical,1254 Nashville Hwy,Lewisburg,TN,37091,(931) 359-7004,https://www.lewisburgfamilydentistry.com/,Family dental clinic,https://www.lewisburgfamilydentistry.com/
Marshall Medical Center,Health & Medical,,Lewisburg,TN,37091,,https://www.mauryregional.com/locations/marshall-medical-center/,25-bed critical access hospital (Maury Regional),https://www.mauryregional.com/locations/marshall-medical-center/
Meredith Warner Animal Clinic,Pets & Animals,1370 Nashville Hwy,Lewisburg,TN,37091,(931) 359-3945,,Veterinary clinic,https://www.yellowpages.com/lewisburg-tn/meredith-warner-animal-clinic
Walgreens,Health & Medical,758 N Ellington Pkwy,Lewisburg,TN,37091,(931) 359-6204,https://www.walgreens.com/locator/walgreens-758+n+ellington+pkwy-lewisburg-tn-37091/id=9510,Pharmacy and drugstore,https://www.walgreens.com/locator/walgreens-758+n+ellington+pkwy-lewisburg-tn-37091/id=9510
43 Fabrication LLC,Home & Trades,1800 Childress Rd,Lewisburg,TN,37091,(931) 675-4820,,Full-service industrial contractor,https://lewisburgtn.gov/wp-content/uploads/2023/10/Lewisburg-Industrial-Directory.pdf
Blalock Plumbing Electric & HVAC,Home & Trades,680 S Ellington Pkwy,Lewisburg,TN,37091,,https://blalocks.com/,Plumbing electrical and HVAC (since 1973),https://blalocks.com/
Cornersville Heating Cooling & Refrigeration,Home & Trades,,Cornersville,TN,37047,,,HVAC and refrigeration,https://www.manta.com/mb_51_ALL_JQX/cornersville_tn
Dowdle Gas Co,Home & Trades,204 Southside Sq,Petersburg,TN,37144,,,Propane and gas supplier,https://us-business.info/directory/petersburg-tn/
Local Peoples Gas,Home & Trades,3296 Lewisburg Hwy,Petersburg,TN,37144,(931) 659-6981,,Propane and gas supplier,https://www.yellowpages.com/petersburg-tn/mip/local-people-gas-company-16851315
Mid-Tenn Tree & Lawn Service,Home & Trades,,Lewisburg,TN,37091,,https://www.midtntreeandlawn.com/,Tree care and landscaping,https://www.midtntreeandlawn.com/
Tankersley Concrete,Home & Trades,1630 Rock Crusher Rd,Lewisburg,TN,37091,(931) 359-3112,,Concrete products (est 1946),https://lewisburgtn.gov/wp-content/uploads/2023/10/Lewisburg-Industrial-Directory.pdf
Wholesale Supply Group,Home & Trades,,Lewisburg,TN,37091,,https://wholesalesupply.us/location/wholesale-supply-group-lewisburg/,Plumbing/electrical/HVAC wholesale supply,https://wholesalesupply.us/location/wholesale-supply-group-lewisburg/
Berry Global Corporation,Manufacturing,851 Garrett Parkway,Lewisburg,TN,37091,(931) 359-7815,,Polyethylene film,https://lewisburgtn.gov/wp-content/uploads/2023/10/Lewisburg-Industrial-Directory.pdf
Captain Rodney's,Manufacturing,2630 Nashville Hwy,Lewisburg,TN,37091,(931) 359-8000,,Canned fruits sauces & specialties,https://lewisburgtn.gov/wp-content/uploads/2023/10/Lewisburg-Industrial-Directory.pdf
Genesco,Manufacturing,5894 Nashville Hwy,Chapel Hill,TN,37034,(931) 367-8187,,Shoe warehouse & distribution,https://lewisburgtn.gov/wp-content/uploads/2023/10/Lewisburg-Industrial-Directory.pdf
International Comfort Products,Manufacturing,650 Heil Quaker Ave,Lewisburg,TN,37091,(931) 270-3441,,HVAC warehouse & distribution (Carrier),https://lewisburgtn.gov/wp-content/uploads/2023/10/Lewisburg-Industrial-Directory.pdf
Lewisburg Printing Co.,Manufacturing,170 Woodside Dr,Lewisburg,TN,37091,(931) 359-1526,,Commercial printing & lithographics (est 1898),https://lewisburgtn.gov/wp-content/uploads/2023/10/Lewisburg-Industrial-Directory.pdf
Marelli,Manufacturing,201 Garrett Parkway,Lewisburg,TN,37091,(931) 359-4105,,Automotive dashboards & electronics (~900 employees),https://lewisburgtn.gov/wp-content/uploads/2023/10/Lewisburg-Industrial-Directory.pdf
Minth Tennessee International,Manufacturing,1801 Childress Rd,Lewisburg,TN,37091,(931) 288-8030,,Auto parts trim seat frames roof racks,https://lewisburgtn.gov/wp-content/uploads/2023/10/Lewisburg-Industrial-Directory.pdf
Moon Products,Manufacturing,1150 5th Ave N,Lewisburg,TN,37091,(931) 359-1501,,Pencil manufacturing (Cra-Z-Art),https://lewisburgtn.gov/wp-content/uploads/2023/10/Lewisburg-Industrial-Directory.pdf
Multimatic,Manufacturing,871 Industrial Dr,Lewisburg,TN,37091,(931) 359-3192,,Automotive suspensions and structures,https://lewisburgtn.gov/wp-content/uploads/2023/10/Lewisburg-Industrial-Directory.pdf
Nichirin Tennessee,Manufacturing,1620 Old Belfast Rd,Lewisburg,TN,37091,(931) 270-5709,,Power brake & steering hoses,https://lewisburgtn.gov/wp-content/uploads/2023/10/Lewisburg-Industrial-Directory.pdf
Old Hickory Smokehouse,Manufacturing,1012 Veterans Dr,Lewisburg,TN,37091,(931) 246-4775,https://www.oldhickorysmokehouse.com/,Smoked meats sauces and condiments,https://lewisburgtn.gov/wp-content/uploads/2023/10/Lewisburg-Industrial-Directory.pdf
Talos Engineered Products,Manufacturing,871 Industrial Dr,Lewisburg,TN,37091,(931) 270-7747,https://www.talosep.com/,Conveyor systems and integration,https://lewisburgtn.gov/wp-content/uploads/2023/10/Lewisburg-Industrial-Directory.pdf
Teledyne Advanced Electronics,Manufacturing,1425 Higgs Rd,Lewisburg,TN,37091,(931) 359-4531,,Defense/aerospace electronics,https://lewisburgtn.gov/wp-content/uploads/2023/10/Lewisburg-Industrial-Directory.pdf
Walker Die Casting,Manufacturing,1125 Higgs Rd,Lewisburg,TN,37091,(931) 270-2984,,Aluminum die castings,https://lewisburgtn.gov/wp-content/uploads/2023/10/Lewisburg-Industrial-Directory.pdf
WestRock,Manufacturing,700 Garrett Parkway,Lewisburg,TN,37091,(931) 359-4575,,Corrugated products,https://lewisburgtn.gov/wp-content/uploads/2023/10/Lewisburg-Industrial-Directory.pdf
A Richland Inn Lewisburg,Other,725 E Commerce St,Lewisburg,TN,37091,,,Hotel / lodging,https://www.shopdowntown.org/pages/shop-downtown-Lewisburg-Tennessee
A1 Storage Complex,Other,1635 New Columbia Hwy,Lewisburg,TN,37091,,https://www.a1storagecomplex.com/,Indoor and outdoor self-storage units,https://www.a1storagecomplex.com/self-storage-lewisburg-tn-f2480
Anderson Funeral Home,Other,,Lewisburg,TN,37091,,,Funeral home,https://everloved.com/funeral-homes/TN/lewisburg/anderson-funeral-home-lewisburg-tn-37091/
Bills-McGaugh & Hamilton Funeral Home & Crematory,Other,,Lewisburg,TN,37091,,https://www.billsmcgaugh.com/,Funeral home and crematory,https://www.billsmcgaugh.com/
Collins Mini Storage,Other,1103 Nashville Hwy,Lewisburg,TN,37091,,,Self-storage facility,https://www.uhaul.com/Locations/Self-Storage-near-Lewisburg-TN-37091/1028651/
Eastside Dry Cleaners,Other,240 E Commerce St,Lewisburg,TN,37091,(931) 359-4312,,Dry cleaning and laundry service,https://www.yelp.com/biz/eastside-dry-cleaners-lewisburg
J. B. Mayberry & Sons Funeral Home,Other,,Lewisburg,TN,37091,,,Funeral home,https://everloved.com/funeral-homes/TN/lewisburg/j-b-mayberry-sons-funeral-home-lewisburg-tn-37091/
J.R.'s Mini Storage,Other,1456 Mooresville Hwy,Lewisburg,TN,37091,(931) 270-7368,https://www.sitelinkstore.com/JRs-Mini-Storage,Self-storage facility,https://www.sitelinkstore.com/JRs-Mini-Storage
London Funeral Home,Other,,Lewisburg,TN,37091,,https://www.londonfuneralhomes.com/,Funeral home,https://www.londonfuneralhomes.com/
Mid-Town Laundry,Other,522 2nd Ave N,Lewisburg,TN,37091,(931) 359-0182,https://www.midtownlaundry.com/,Coin laundromat,https://www.midtownlaundry.com/
Safe and Sound Storage,Other,414 Airport Dr,Lewisburg,TN,37091,,https://www.safeandsoundstoragetn.com/,Self-storage facility,https://www.safeandsoundstoragetn.com/
Walking Horse Lodge,Other,255 N Ellington Pkwy,Lewisburg,TN,37091,,,Hotel / lodging,https://www.shopdowntown.org/pages/shop-downtown-Lewisburg-Tennessee
Bussart Law Firm,Professional Services,520 N Ellington Pkwy,Lewisburg,TN,37091,(931) 359-6264,,"Family law, divorce and personal injury attorney",https://www.lawinfo.com/lawfirm/tennessee/lewisburg/bussart-law-firm/
Collins & Miller Insurance LLC,Professional Services,1103 Nashville Hwy,Lewisburg,TN,37091,(931) 359-6233,https://www.collins-miller.com,Independent insurance agency,https://www.collins-miller.com/contact-us
Davis Law Firm,Professional Services,113 W Commerce St,Lewisburg,TN,37091,(931) 422-5615,https://www.davislaw.org,"Criminal defense, DUI, divorce and family law",https://www.davislaw.org/
Everett Insurance Agency Inc,Professional Services,438 W Commerce St,Lewisburg,TN,37091,,,Independent insurance agency,https://www.trustedchoice.com/agent/tn/lewisburg/
Kennedy Mathis - Shelter Insurance,Professional Services,706 N Ellington Pkwy,Lewisburg,TN,37091,(931) 359-6511,,"Shelter Insurance agent: auto, home and life",https://www.shelterinsurance.com/CA/agent/KMATHIS
Law Office of David J. McKenzie,Professional Services,,Lewisburg,TN,37091,,https://davidmckenzielaw.com,Criminal defense and personal injury attorney,https://davidmckenzielaw.com/
Lewisburg Farm Bureau Insurance,Professional Services,1425 New Columbia Hwy,Lewisburg,TN,37091,,https://www.fbitn.com/tn/marshall-county/lewisburg/marshall-lewisburg-agency,Farm Bureau Insurance agency for Marshall County,https://www.fbitn.com/tn/marshall-county/lewisburg/marshall-lewisburg-agency
Medley & Spivy Attorneys at Law,Professional Services,"111 W Commerce St, Suite 201",Lewisburg,TN,37091,(931) 359-7555,https://medleyandspivy.com,"Personal injury, family law, criminal defense and estate planning",https://medleyandspivy.com/
Ostermann Law Firm PLC,Professional Services,111 1st Ave S Ste 2,Lewisburg,TN,37091,(931) 359-4979,https://www.ostermannlaw.com,"Estate planning, probate, wills, trusts and power of attorney",https://www.ostermannlaw.com/contact
Peggy Hubbard - State Farm Insurance,Professional Services,291 N Ellington Pkwy,Lewisburg,TN,37091,(931) 359-3998,,State Farm insurance agent,https://www.statefarm.com/agent/us/tn/lewisburg/peggy-hubbard-35psx1ys000
Scot Bush - State Farm Insurance,Professional Services,1603 Mooresville Hwy,Lewisburg,TN,37091,(931) 359-2936,https://scotbush.com,"State Farm agent: auto, home and life insurance",https://scotbush.com/
TN Web,Professional Services,432 E Commerce St,Lewisburg,TN,37091,(931) 359-7960,https://tnweb.com,"Local web design, IT services and computer repair",https://www.yellowpages.com/lewisburg-tn/mip/tn-web-6192315
David Jent Realty & Auction,Real Estate,430 W Commerce St,Lewisburg,TN,37091,(931) 359-6631,https://davidjentrealty.com,Family-owned real estate and auction firm since 1982,https://davidjentrealty.com/lewisburg-office/
David Jent Realty & Auction - Chapel Hill,Real Estate,4682 Nashville Hwy,Chapel Hill,TN,37034,(931) 364-5678,https://davidjentrealty.com,Chapel Hill office of David Jent Realty & Auction,https://davidjentrealty.com/chapel-hill-office/
Weichert Realtors - The Lampley Group,Real Estate,852 W Commerce St,Lewisburg,TN,37091,(931) 422-5510,https://www.weichert.com/offices/TN-Lewisburg-The-Lampley-Group-50-K69/,Real estate office,https://www.weichert.com/offices/TN-Lewisburg-The-Lampley-Group-50-K69/
Alex's Tacos and Wings,Restaurant & Food,125 W Commerce St,Lewisburg,TN,37091,(931) 422-5329,,Tacos and wings,https://www.tripadvisor.com/Restaurants-g55157-Lewisburg_Tennessee.html
Amigos Mexican Grill,Restaurant & Food,,Chapel Hill,TN,37034,,https://www.amigosmexicangrillsh.com/,Fresh Mexican food family-friendly,https://www.chapelhilltn.com/local-businesses
Burger King,Restaurant & Food,960 N Ellington Pkwy,Lewisburg,TN,37091,(931) 359-1118,https://www.bk.com/store-locator/store/restaurant_6307,Fast-food restaurant,https://www.bk.com/store-locator/store/restaurant_6307
Captain D's,Restaurant & Food,1200 N Ellington Pkwy,Lewisburg,TN,37091,(931) 422-1059,,Seafood fast-food chain,https://www.tripadvisor.com/Restaurants-g55157-Lewisburg_Tennessee.html
Country Diner,Restaurant & Food,,Chapel Hill,TN,37034,,https://www.yelp.com/biz/country-diner-chapel-hill,Country diner,https://www.chapelhilltn.com/local-businesses
Deb's Cafe,Restaurant & Food,68 Morgan Cir,Petersburg,TN,37144,,,Local cafe,https://us-business.info/directory/petersburg-tn/
Domino's Pizza,Restaurant & Food,4640 Nashville Hwy Ste D,Chapel Hill,TN,37034,,https://pizza.dominos.com/tennessee/chapel-hill/,National pizza chain,https://www.chapelhilltn.com/local-businesses
El Jardin Mexican Restaurant,Restaurant & Food,1820 Mooresville Hwy,Lewisburg,TN,37091,(931) 422-2286,,Mexican restaurant,https://www.yelp.com/biz/el-jardin-mexican-restaurant-lewisburg
El Patron Mexican Restaurant & Grill,Restaurant & Food,229 E Commerce St,Lewisburg,TN,37091,(931) 293-9088,,Mexican restaurant,https://www.tripadvisor.com/Restaurants-g55157-Lewisburg_Tennessee.html
Farmstead Coffee Co.,Restaurant & Food,,Chapel Hill,TN,37034,,https://www.facebook.com/FarmsteadCoffeeCompany,Drive-thru coffee shop,https://www.chapelhilltn.com/local-businesses
From The Heart,Restaurant & Food,,Chapel Hill,TN,37034,,https://www.facebook.com/fromthehearttn/,Soups sandwiches burgers and local crafts,https://www.chapelhilltn.com/local-businesses
Holy Smokes BBQ of TN,Restaurant & Food,,Chapel Hill,TN,37034,,https://www.facebook.com/holysmokesbbqoftn,Local BBQ serving smoked meats and sides,https://www.chapelhilltn.com/local-businesses
KFC,Restaurant & Food,1338 N Ellington Pkwy,Lewisburg,TN,37091,,https://locations.kfc.com/tn/lewisburg/1338-n-ellington-parkway,Fast-food fried chicken chain,https://locations.kfc.com/tn/lewisburg/1338-n-ellington-parkway
Kindred Pizza,Restaurant & Food,1037 Nashville Hwy,Lewisburg,TN,37091,(931) 288-0007,https://www.orderkindredpizza.com/,Pizza restaurant,https://www.yelp.com/biz/kindred-pizza-lewisburg
Las Fiestas,Restaurant & Food,,Chapel Hill,TN,37034,,,Mexican restaurant takeout and dine-in,https://www.chapelhilltn.com/local-businesses
LawLer's Barbecue,Restaurant & Food,1303 N Ellington Pkwy,Lewisburg,TN,37091,(931) 359-5990,https://www.lawlersbarbecue.com/lewisburg-tn/,Barbecue restaurant serving smoked meats,https://www.yelp.com/biz/lawlers-barbecue-lewisburg-3
Lewisburg Donut Shop,Restaurant & Food,1523 Mooresville Hwy,Lewisburg,TN,37091,(931) 246-8038,https://www.facebook.com/Lewisburgdonut/,Family-run donut shop with breakfast and lunch,https://www.yelp.com/biz/lewisburg-donuts-lewisburg
Mama Mia Italian Restaurant,Restaurant & Food,227 E Commerce St,Lewisburg,TN,37091,(931) 422-2009,,Italian restaurant,https://www.yelp.com/biz/mama-mia-italian-restaurant-lewisburg
McDonald's,Restaurant & Food,141 N Ellington Pkwy,Lewisburg,TN,37091,,https://www.mcdonalds.com/us/en-us/location/tn/lewisburg/141-n-ellington-pky/10725.html,Fast-food restaurant,https://www.mcdonalds.com/us/en-us/location/tn/lewisburg/141-n-ellington-pky/10725.html
Nash Family Creamery,Restaurant & Food,,Chapel Hill,TN,37034,,http://nashfamilycreamery.com,Farm-to-spoon creamery and cafe,https://www.chapelhilltn.com/local-businesses
Nspire Nutrition of Lewisburg,Restaurant & Food,106 W Church St,Lewisburg,TN,37091,,,Nutrition shop with gluten-free/vegan options,https://www.tripadvisor.com/Restaurants-g55157-Lewisburg_Tennessee.html
Old Delina Country Store,Restaurant & Food,,Petersburg,TN,37144,,,Country store and restaurant,https://www.menupix.com/tennessee/restaurants/32076931/Old-Delina-Country-Store-Cornersville-TN
Rockhouse Coffee & Bakery,Restaurant & Food,764 W Commerce St,Lewisburg,TN,37091,(931) 422-2422,,Downtown coffee shop and bakery,https://www.shopdowntown.org/pages/shop-downtown-Lewisburg-Tennessee
Sonic Drive-In,Restaurant & Food,4646 Nashville Hwy,Chapel Hill,TN,37034,,https://www.sonicdrivein.com/,Fast-food drive-in,https://www.chapelhilltn.com/local-businesses
South Arrow Coffee Co.,Restaurant & Food,,Chapel Hill,TN,37034,,https://www.facebook.com/profile.php?id=61567968425478,Coffee shop on Main Street (old post office),https://www.chapelhilltn.com/local-businesses
Subway,Restaurant & Food,208 S Horton Hwy,Chapel Hill,TN,37034,,https://restaurants.subway.com/,Sandwich chain,https://www.chapelhilltn.com/local-businesses
Taco Bell,Restaurant & Food,440 N Ellington Pkwy,Lewisburg,TN,37091,,https://locations.tacobell.com/tn/lewisburg.html,Fast-food Mexican chain,https://locations.tacobell.com/tn/lewisburg.html
Tennessean Travel Stop,Restaurant & Food,I-65 Exit 22,Cornersville,TN,37047,,https://tennesseantravelstop.com,"Travel stop with Southern buffet, cafe and BBQ",https://tennesseantravelstop.com/food-and-dining/
The Encore Cafe,Restaurant & Food,,Petersburg,TN,37144,,,"Cafe on the historic square: burgers, pizza and dirty sodas",https://www.experiencetn.com/post/discover-the-encore-cafe-in-petersburg-tn
The Restaurant at Henry Horton,Restaurant & Food,4358 Nashville Hwy,Chapel Hill,TN,37034,,https://tnstateparks.com/restaurants/henry-horton,Restaurant at Henry Horton State Park,https://www.chapelhilltn.com/local-businesses
Time To Eat Bar & Grill,Restaurant & Food,1341 Nashville Hwy,Lewisburg,TN,37091,(931) 422-2090,,Bar and grill / bistro,https://www.tripadvisor.com/Restaurants-g55157-Lewisburg_Tennessee.html
Viking Pizza Co.,Restaurant & Food,,Chapel Hill,TN,37034,,https://vikingpizzaco.com/,Wood-fired pizza and craft beer,https://www.chapelhilltn.com/local-businesses
Wendy's,Restaurant & Food,290 N Ellington Pkwy,Lewisburg,TN,37091,,https://locations.wendys.com/united-states/tn/lewisburg/290-n-ellington-pike,Fast-food restaurant,https://locations.wendys.com/united-states/tn/lewisburg/290-n-ellington-pike
Yamato Sushi Steakhouse,Restaurant & Food,1063 Nashville Hwy,Lewisburg,TN,37091,(931) 422-7057,,Japanese sushi and steakhouse,https://www.tripadvisor.com/Restaurants-g55157-Lewisburg_Tennessee.html
Accents by Tara,Retail & Shopping,825 W Commerce St,Lewisburg,TN,37091,(931) 637-1605,,Downtown gift/decor shop,https://www.shopdowntown.org/pages/shop-downtown-Lewisburg-Tennessee
BB's Boutique,Retail & Shopping,,Lewisburg,TN,37091,,,Downtown boutique,https://www.shopdowntown.org/pages/shop-downtown-Lewisburg-Tennessee
